provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2019,MARET,129321,2303403,587371,14061
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,139706,2303403,587371,14061
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2020,MARET,141299,2499423,639799,15949
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,141850,2499423,639799,15949
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2019,MARET,97785,2303403,369051,14061
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,103166,2303403,369051,14061
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2020,MARET,108061,2499423,390593,15949
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,108091,2499423,390593,15949
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2021,MARET,145089,2499423,657135,15486
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,147124,2499423,657135,15486
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2022,MARET,151633,2522610,668871,15131
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,157137,2522610,668871,15131
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2021,MARET,112706,2499423,383019,15486
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,114016,2499423,383019,15486
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2022,MARET,118883,2522610,404273,15131
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,125685,2522610,404273,15131
SUMATERA BARAT,MAKANAN,PERKOTAAN,2015,MARET,288410,1615000,509609,11241
SUMATERA BARAT,MAKANAN,PERKOTAAN,2015,SEPTEMBER,301356,1615000,509609,11241
SUMATERA BARAT,MAKANAN,PERKOTAAN,2016,MARET,312154,1800725,583696,13206
SUMATERA BARAT,MAKANAN,PERKOTAAN,2016,SEPTEMBER,322168,1800725,583696,13206
SUMATERA BARAT,MAKANAN,PERDESAAN,2015,MARET,293768,1615000,447944,11241
SUMATERA BARAT,MAKANAN,PERDESAAN,2015,SEPTEMBER,313294,1615000,447944,11241
SUMATERA BARAT,MAKANAN,PERDESAAN,2016,MARET,332415,1800725,505042,13206
SUMATERA BARAT,MAKANAN,PERDESAAN,2016,SEPTEMBER,341816,1800725,505042,13206
SUMATERA BARAT,MAKANAN,PERKOTAAN,2017,MARET,337132,1949284,639600,14378
SUMATERA BARAT,MAKANAN,PERKOTAAN,2017,SEPTEMBER,339340,1949284,639600,14378
SUMATERA BARAT,MAKANAN,PERKOTAAN,2018,MARET,356907,2119067,663365,14431
SUMATERA BARAT,MAKANAN,PERKOTAAN,2018,SEPTEMBER,367319,2119067,663365,14431
SUMATERA BARAT,MAKANAN,PERDESAAN,2017,MARET,352878,1949284,544680,14378
SUMATERA BARAT,MAKANAN,PERDESAAN,2017,SEPTEMBER,354771,1949284,544680,14378
SUMATERA BARAT,MAKANAN,PERDESAAN,2018,MARET,369087,2119067,558783,14431
SUMATERA BARAT,MAKANAN,PERDESAAN,2018,SEPTEMBER,370529,2119067,558783,14431
SUMATERA BARAT,MAKANAN,PERKOTAAN,2019,MARET,382490,2289220,663548,15210
SUMATERA BARAT,MAKANAN,PERKOTAAN,2019,SEPTEMBER,402124,2289220,663548,15210
SUMATERA BARAT,MAKANAN,PERKOTAAN,2020,MARET,411369,2484041,698667,17571
SUMATERA BARAT,MAKANAN,PERKOTAAN,2020,SEPTEMBER,413073,2484041,698667,17571
SUMATERA BARAT,MAKANAN,PERDESAAN,2019,MARET,382217,2289220,561206,15210
SUMATERA BARAT,MAKANAN,PERDESAAN,2019,SEPTEMBER,401904,2289220,561206,15210
SUMATERA BARAT,MAKANAN,PERDESAAN,2020,MARET,415694,2484041,597149,17571
