provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah,Cluster
SUMATERA UTARA,MAKANAN,PERKOTAAN,2019.0,SEPTEMBER,366831.0,2303403.0,612136.0,14061.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2020.0,MARET,376919.0,2499423.0,643456.0,15949.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2020.0,SEPTEMBER,378679.00000000006,2499423.0,643456.0,15949.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2019.0,MARET,348030.0,2303403.0,533737.0,14061.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2019.0,SEPTEMBER,367379.0,2303403.0,533737.0,14061.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2020.0,MARET,376656.0,2499423.0,544441.0,15949.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2020.0,SEPTEMBER,378550.0,2499423.0,544441.0,15949.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2021.0,MARET,397996.0,2499423.0,630458.0,15486.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2021.0,SEPTEMBER,409312.99999999994,2499423.0,630458.0,15486.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2022.0,MARET,431588.0,2522610.0,689463.0,15131.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2022.0,SEPTEMBER,458089.0,2522610.0,689463.0,15131.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2021.0,MARET,391979.0,2499423.0,579669.0,15486.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2021.0,SEPTEMBER,399971.0,2499423.0,579669.0,15486.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2022.0,MARET,415301.0,2522610.0,631364.0,15131.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2022.0,SEPTEMBER,438098.0,2522610.0,631364.0,15131.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2015.0,MARET,102642.99999999999,1625000.0,453609.0,10618.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2015.0,SEPTEMBER,106626.99999999999,1625000.0,453609.0,10618.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2016.0,MARET,108311.99999999999,1811875.0,474404.0,11646.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2016.0,SEPTEMBER,111808.0,1811875.0,474404.0,11646.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2015.0,MARET,65752.0,1625000.0,269407.0,10618.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2015.0,SEPTEMBER,67987.0,1625000.0,269407.0,10618.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2016.0,MARET,72806.0,1811875.0,287255.0,11646.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2016.0,SEPTEMBER,75473.0,1811875.0,287255.0,11646.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2017.0,MARET,113695.99999999999,1961354.0,491793.0,13396.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2017.0,SEPTEMBER,117205.99999999999,1961354.0,491793.0,13396.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2018.0,MARET,120138.0,2132189.0,544628.0,13257.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2018.0,SEPTEMBER,120623.0,2132189.0,544628.0,13257.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2017.0,MARET,79842.0,1961354.0,278114.0,13396.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2017.0,SEPTEMBER,84935.0,1961354.0,278114.0,13396.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2018.0,MARET,87743.0,2132189.0,337487.0,13257.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2018.0,SEPTEMBER,93173.0,2132189.0,337487.0,13257.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2019.0,MARET,129321.0,2303403.0,587371.0,14061.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2019.0,SEPTEMBER,139706.0,2303403.0,587371.0,14061.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2020.0,MARET,141299.0,2499423.0,639799.0,15949.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2020.0,SEPTEMBER,141850.0,2499423.0,639799.0,15949.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2019.0,MARET,97784.99999999999,2303403.0,369051.0,14061.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2019.0,SEPTEMBER,103165.99999999999,2303403.0,369051.0,14061.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2020.0,MARET,108061.0,2499423.0,390593.0,15949.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2020.0,SEPTEMBER,108091.0,2499423.0,390593.0,15949.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2021.0,MARET,145089.0,2499423.0,657135.0,15486.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2021.0,SEPTEMBER,147124.0,2499423.0,657135.0,15486.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2022.0,MARET,151633.0,2522610.0,668871.0,15131.0,1
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2022.0,SEPTEMBER,157137.0,2522610.0,668871.0,15131.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2021.0,MARET,112706.0,2499423.0,383019.0,15486.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2021.0,SEPTEMBER,114016.0,2499423.0,383019.0,15486.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2022.0,MARET,118883.0,2522610.0,404273.0,15131.0,1
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2022.0,SEPTEMBER,125685.0,2522610.0,404273.0,15131.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2015.0,MARET,288410.0,1615000.0,509609.0,11241.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2015.0,SEPTEMBER,301356.0,1615000.0,509609.0,11241.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2016.0,MARET,312154.0,1800725.0,583696.0,13206.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2016.0,SEPTEMBER,322168.0,1800725.0,583696.0,13206.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2015.0,MARET,293768.0,1615000.0,447944.0,11241.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2015.0,SEPTEMBER,313294.0,1615000.0,447944.0,11241.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2016.0,MARET,332415.0,1800725.0,505042.0,13206.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2016.0,SEPTEMBER,341816.0,1800725.0,505042.0,13206.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2017.0,MARET,337132.0,1949284.0,639600.0,14378.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2017.0,SEPTEMBER,339340.0,1949284.0,639600.0,14378.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2018.0,MARET,356907.0,2119067.0,663365.0,14431.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2018.0,SEPTEMBER,367319.0,2119067.0,663365.0,14431.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2017.0,MARET,352878.0,1949284.0,544680.0,14378.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2017.0,SEPTEMBER,354771.0,1949284.0,544680.0,14378.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2018.0,MARET,369087.0,2119067.0,558783.0,14431.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2018.0,SEPTEMBER,370529.0,2119067.0,558783.0,14431.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2019.0,MARET,382490.0,2289220.0,663548.0,15210.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2019.0,SEPTEMBER,402124.0,2289220.0,663548.0,15210.0,1
